code,name,constituency_id,num_voters
A021303,COMM SHED EBOWU ASASETRE 1,2,451
A021304,COMM SHED EBOWU ASASETRE 2,2,370
A021305,D/A PRIM SCH NVUMA,2,627
A021401,D/A JSS NZEZE. ASASETRE,2,396
A021402,ARABIC SCH NZEZE ASASETRE 1,2,391
A021403,ARABIC SCH NZEZE ASASETRE 2,2,380
A021404,D/A PRIM SCH BOMOAKPOLE,2,649
A021405,COMM SHED NVELESOLO,2,332
A021501,COMM SHED EKPOKU. TANDAN,2,390
A021502,CATH PRIM SCH TANDAN,2,343
A021503,CATH CH AKYEKYERE TANDAN,2,415
A021601,D/A PRIM SCH ADUBRIM 1,2,424
A021602,D/A PRIM SCH ADUBRIM 2,2,317
A021603,PRESBY PRIM SCH BETENASE AWUNASUAZO,2,457
A021604,D/C PRIM SCH MPEASEM,2,218
A021605,MARKET SHED NGABAWIE,2,357
A021606,CHIEF'S PALACE. PEBULU,2,230
A021701,D/A PRIM SCH AKROPONG 1,2,444
A021702,D/A PRIM SCH AKROPONG 2,2,408
A021703,D/A PRIM SCH NYAMEBEKYERE,2,177
A021704,D/A PRIM SCH. KOTOKUOM,2,417
A021801,MARKET CENTRE AWIEBO,2,448
A021802,CATH PRIM SCH AWIEBO,2,520
A021901,D/A PRIM SCH EKOYIAWIE,2,231
A021902,D/A PRIM SCH MANTUKWA,2,200
A022001,RURAL BANK. AWIEBO,2,461
A022002A,D/A PRIM SCH AWIEBO JUNCT.,2,435.5
A022002B,D/A PRIM SCH AWIEBO JUNCT.,2,435.5
A022003,CHIEF'S PALACE AWIEBO,2,345
A022004,D/A PRIM SCH EBI,2,297
A022005,CHIEF'S PALACE MALANU,2,48
A022006,COMM SHED KENYAMEZOR,2,86
A022007,PENTCOST CHURCH. MACHINE,2,359
A022101,CATH PRIM SCH AB BOKAZO,2,702
A022102,COMM SHED ALLA BOKAZO,2,498
A022103,MARKET CENTRE AKPANDUA,2,489
A022104,COMM SHED ADWAKPOLEY,2,459
A022201,CATH PRIM SCH AIYINASE 1,2,461
A022202,CATH PRIM SCH AIYINASE 2,2,468
A022203,METH CHURCH AIYINASE 1,2,523
A022204,METH CHURCH AIYINASE 2,2,476
A022301,D/A PRIM SCH AKOTO,2,579
A022302,D/A PRIM SCH ALOAKPOKE,2,156
A022303,COMM SHED AWIASO,2,541
A022401A,POST OFFICE AIYINASE 1,2,374.5
A022401B,POST OFFICE AIYINASE 1,2,374.5
A022402,POST OFFICE AIYINASE 2,2,400
A022403,ACTION CHURCH AIYINASE,2,625
A022501,D/A JHS AIYINASE 1,2,724
A022502,D/A JHS AIYINASE 2,2,638
A022503,ANGLICAN PRIM SCH AIYINASE 1,2,547
A022504,ANGLICAN PRIM SCH AIYINASE 2,2,596
A022505,AREA COUNC. OFFICE AIYINASE,2,696
A022601,D/A PRIM SCH NYAMEBEKYERE,2,504
A022602,COMM SHED PELEKPOLENU,2,188
A022603,D/A PRIM SCH SENDU,2,456
A022604,COMM SHED. NEW SANFO,2,619
A022701,D/A PRIM SCH AYAWORA,2,465
A022702,D/A PRIM SCH EKOKONU,2,435
A022801,D/A PRIM SCH MENZEZOR  1,2,448
A022802,D/A PRIM SCH MENZEZOR  2,2,511
A022803,COMM SHED KAKEBENZELE,2,575
A022901,ACTION PRIM SCH BASAKE,2,541
A022902,DAY CARE CENTRE BASAKE,2,474
A022903,MARKET CENTRE BASAKE,2,510
A022904,D/A PRIM DOMEBRA,2,219
A023001,METH PRIM SCH ATUABO,2,475
A023002,D/A JHS SCH ATUABO,2,420
A023003,METH PRIM SCH ASEMDASUAZO,2,255
A023101,D/A PRIM NGALEKYI,2,582
A023102,METH PRIM SCH ANOKYI,2,631
A023103,D/A PRIM BAKU,2,638
A023104,D/A PIRM.. NGALEKPOLE,2,398
A023201,CATH PRIM SCH EIKWE,2,616
A023202,MARKET CENTRE EIKWE,2,493
A023203,COMM SHED KRISAN,2,571
A023301,D/A PRIM SCH SANZULE 1,2,506
A023302,D/A PRIM SCH SANZULE 2,2,479
A023303,D/A PRIM SCH AKONU,2,386
A023304,D/A PRIM SCH NEW BAKANTA,2,351
A023401,D/A PRIM SCH ASOMASE  1,2,547
A023402,D/A PRIM SCH ASOMASE  2,2,409
A023403,D/A PRIM SCH DADWEN,2,704
A023404,D/A PRIM SCH BASAKE NO 2,2,539
A023405,D/A PRIM SCH KROBO-LINE,2,313
A023406,D/A PRIM SCH BONSUKROM 1,2,463
A023407,D/A PRIM SCH BONSUKROM 2,2,468
A023501,D/A PRIM SCH KWESIKROM 1,2,625
A023502,D/A PRIM SCH KWESIKROM 2,2,724
A023503,D/A PRIM SCH AIDOOSUAZO 1,2,597
A023504,D/A PRIM SCH AIDOOSUAZO 2,2,530
A023505,D/A PRIM SCH MANDUGBANE,2,469
A023506A,D/A PRIM SCH AKASA-EWEREKO.,2,456.5
A023506B,D/A PRIM SCH AKASA-EWEREKO.,2,456.5
A023507,D/A PRIM SCH ADJEIKROM,2,523
A023601,D/A PRIM SCH CENTRESO 1,2,287
A023602,D/A PRIM SCH CENTRESO 2,2,320
A023603,D/A PRIM SCH ADIEMBRA 1,2,463
A023604,D/A PRIM SCH ADIEMBRA 2,2,398
A023605,D/A PRIM SCH. AMONOKROM,2,430
A030101,FISHING SHED APEWOSIKA 1,3,494
A030102,FISHING SHED APEWOSIKA 2,3,669
A030103,ATLANTA SALON APEWOSIKA,3,615
A030104,KINGDOM CITY ANTO APEWOSIKA,3,715
A030201,M.A PRIM AKONU,3,265
A030202,COMM. SHED AGYAN,3,278
A030301,COLD STORE AXIM,3,632
A030302,GPRTU SHED AXIM,3,576
A030303,TANKO VIDEO AXIM 1,3,375
A030304,TANKO VIDEO AXIM 2,3,443
A030401,TARKWA HOUSE AXIM 1,3,598
A030402,TARKWA HOUSE AXIM 2,3,643
A030403,AWIEN NZE LODGE AXIM,3,623
A030501,ANKONAM STREET OTOPAE,3,421
A030502,BOKAKOKOLE AXIM,3,400
A030503,FITI-KOLONU- AXIM,3,363
A030504,OLD POST OFFICE AXIM,3,340
A030601,COMM CENTRE AXIM,3,454
A030602,ANGLICAN SCH AXIM,3,575
A030701,CAPT ACKAH?S HSE AXIM,3,509
A030702,YORKE HALL AXIM,3,407
A030703,LABOUR OFFICE AXIM,3,202
A030704,ENV?TAL OFFICE AXIM,3,364
A030801,MOSAMA CHURCH AXIM,3,458
A030802,R C PRIM SCH AXIM,3,389
A030803,WHITE HOUSE AXIM,3,514
A030901,W T I AXIM,3,621
A030902,TOWN SQUARE ANTO BRAWIRE AXIM,3,479
A030903,COMM SHED. CENTRAL BRAWIRE AXIM,3,536
A030904,COMM SHED. AKYENIM,3,546
A031001,COMM SHED NSEIN 1,3,530
A031002,COMM SHED NSEIN 2,3,691
A031003,REV GRAHAM NURSERY NSEIN,3,328
A031004,M A PRIM AGONA,3,95
A031005,COMM SHED AWUKU,3,532
A031006,COMM SHED AGUAFO,3,221
A031101,M.A PRIM APATAIM,3,504
A031102,COMM SHED ADUKROM,3,193
A031201,COMM SHED DADWEN,3,466
A031202,M A PRIM AVREBO,3,448
A031203,DAY CARE CENTRE AHUNYAME,3,355
A031204,COMM SHED ADELEKEZO,3,332
A031205,COMM SHED SUFFER TO GAIN,3,66
A031301,CHIEF?S PALACE AYISAKRO,3,402
A031302,COMM SHED NDATIEM,3,279
A031303,COMM SHED ANKYEREYIN,3,345
A031304,COMM SHED AWUKYIRE,3,135
A031401,M A PRIM KEGYINA  1,3,238
A031402,M A PRIM KEGYINA 2,3,257
A031403,COMM SHED EKWANSUAZO,3,157
A031404,M A PRIM YEDIYESELE,3,514
A031405,COMM SHED EDELESUAZO,3,409
A031406,J S S  NYAMEBEKYERE,3,483
A031407,COMM. SHED ESELENU,3,322
A031501,DAY CARE CENTRE NUABESA,3,157
A031502,COMM SHED SUBRI NO.1,3,180
A031503,COMM SHED FANTEKROM,3,210
A031601,M A PRIM BAMIANKOR,3,613
A031602,COMM SHED BAMIANKOR,3,639
A031603A,COMM SHED ANIBIL,3,429
A031603B,COMM SHED ANIBIL,3,429
A031701,M A PRIM KUKUAVRE,3,383
A031702,M A PRIM ATTAKROM,3,615
A031703,COMM SHED AJOMORO ESHIEM,3,243
A031801,COMM SHED DOMINASE,3,395
A031802,M A PRIM ESUOWA,3,716
A031803,COMM SHED AIYINASE,3,513
A031804A,M A PRIM KAKUSUAZO,3,389
A031804B,M A PRIM KAKUSUAZO,3,389
A031805,COMM SHED ABAKPO,3,336
A031901,M A PRIM BOKRO,3,550
A031902,COMM SHED OLD ABELLEBO,3,152
A031903A,R C PRIM AKANGO 1,3,418.5
A031903B,R C PRIM AKANGO 1,3,418.5
A031904,R C PRIM AKANGO 2,3,618
A031905,COMM SHED DUALE,3,409
A032001A,R C PRIM GWIRA BANSO,3,434
A032001B,R C PRIM GWIRA BANSO,3,434
A032002,COMM SHED GWIRA BANSO 1,3,649
A032003A,COMM SHED GWIRA BANSO 2,3,403
A032003B,COMM SHED GWIRA BANSO 2,3,403
A032004,M A PRIM ASUNTI 1,3,411
A032005,M A PRIM ASUNTI 2,3,395
A032006,COMM SHED AWUROBO NO.2,3,420
A032007,COMM SHED BENTENASE,3,429
A032008,COMM. SHED BOMOKROM,3,297
A032101A,M A PRIM GWIRA ESHIEM 1,3,431.5
A032101B,M A PRIM GWIRA ESHIEM 1,3,431.5
A032102A,M A PRIM GWIRA ESHIEM 2,3,402
A032102B,M A PRIM GWIRA ESHIEM 2,3,402
A032103,M A PRIM AKOSUNU,3,624
A032104,COMM SHED SENTUM,3,448
A032105,M A PRIM AGBANSIE,3,443
A032201A,M A PRIM SIKANEASEM 1,3,409.5
A032201B,M A PRIM SIKANEASEM 1,3,409.5
A032202,M A PRIM SIKANEASEM 2,3,585
A032203A,M A PRIM KUTUKROM 1,3,391.5
A032203B,M A PRIM KUTUKROM 1,3,391.5
A032204A,M A PRIM KUTUKROM 2,3,397
A032204B,M A PRIM KUTUKROM 2,3,397
A032205,M A PRIM AHOMKAKROM,3,736
A032206A,M A PRIM BIBIANI,3,413
A032206B,M A PRIM BIBIANI,3,413
A032301,M A PRIM TEBAKROM 1,3,683
A032302,M A PRIM TEBAKROM 2,3,699
A032303,COMM SHED DEEBALLASE,3,647
A032304A,COMM SHED DRAW,3,424
A032304B,COMM SHED DRAW,3,424
A032401,M A PRIM GYAMPELE 1,3,567
A032402,M A PRIM GYAMPELE 2,3,556
A032403,M A PRIM BEKWAISE,3,548
A032501,M/A PRIM TUMENTU 1,3,583
A032502,M/A PRIM TUMENTU 2,3,554
A032503,M/A PRIM SCH ABRODIEM,3,681
A032504,COMM. SHED WIAWSO,3,605
A032505,COMM. SHED MAHAM (CONTAINER),3,720
A040101,R/C PRIM SCH. APOWA,4,576
A040102,R/C JHS. APOWA,4,546
A040103,KONFRENE. APOWA,4,582
A040104,COMM CENTRE SKY RANGE. APOWA,4,428
A040105,ENTIYA MARKET. APOWA,4,615
A040106,PENTECOST CHURCH ENTIYA APOWA,4,503
A040107,NAZARETH PREP. SCH; APOWA,4,470
A040108,COMM. CENTRE. WARRIKROM. APOWA,4,379
A040201,METHODIST JHS. APOWA,4,633
A040202,COMM. CENTRE 1. AWOROZO,4,624
A040203,COMM. CENTRE 2. AWOROZO,4,683
A040204,COMM CENTRE MATSEAPOW,4,571
A040205,OFORI ATTA INT. SCH APOWA,4,519
A040206,WESTERN FOUND. PRY SCH. APOWA,4,581
A040207,TUC VOCATIONAL SCH. APOWA,4,591
A040208,ST. MARY'S SHS. APOWA,4,668
A040209,SEVENTH DAY CHURCH. WARRIKROM. APOWA,4,477
A040301A,CATH. PRIM SCH. KEJABIL,4,379
A040301B,CATH. PRIM SCH. KEJABIL,4,379
A040302,CATH CHURCH. KEJABIL,4,641
A040303,D/A JHS. KEJABIL,4,592
A040304,ST. FRANCIS PREP SCH KEJABIL,4,619
A040305,COMM. CENTRE. PRETSEA JUNCTION,4,170
