name,constituency_id
Abraham Kofi Asante,17
Afful Eric,17
Stephen Nobi,17
Stephen Nobi,17
Joseph Cudjoe,8
Michael Otoo,8
Kwasi Bonzoh,2
Emmanuel Armah-Kofi Buah,2
Ayelebie Amihere Nana Mezenwolebiah,2
Mathias Bonzo-Ewereko Boateng,2
John Nkum Asmah,2
Prince Nathaniel Coffie,2
Joe Ghartey,7
Grace Ayensu-Danquah,7
Frank Cobbinah,7
Catherine Abelema Afeku,3
Kofi Arko Nokoe,3
Elisha Joshua Kabenlah,3
Assuman Frank Afful,3
Paul Essien,1
Dorcas Toffey,1
Patrick Ekye Kwesie,1
Nkrumah Samia Yaba Christina,1
Prince Hamidu Armah,9
Buckman Philip Fiifi,9
Samuel Kwabena Antwi,9
John Kobina Abbam Aboah Sanie,12
Eric Kweku Kyeremah,12
Stephen Kwaku Narh,12
Barbara Oteng-Gyasi,14
Robert Wisdom Cudjoe,14
Ebenezer Yaw Fobir,14
Abokyi Samuel,14
Andrew Kofi Egyapa Mercer,6
Charles Hagan,6
Appiah Eleanor Effie,6
Samuel Erickson Abakah,10
Gabriel Kodwo Essilfie,10
Mathias Ansah,10
George Mireku Duker,13
John Justine Abban,13
Rashidatu Alhassan,13
Jacob Henyo Cudjoe,13
Eric Seedof Asiedu Simpey,13
Andoh Joy Joycelyn,13
Wilson Arthur,11
Isaac Adjei Mensah,11
Osei Edward,173
Oscar Ofori Larbi,173
Adams Sey Bilson,173
Nicholas Kupog Yayin,181
Richard Acheampong,181
Oti Charles,181
Bernard Gyebi-Blay,180
Augustine Tawiah,180
Boulier Augustine,180
Amoah Gabriel,180
Alfred Obeng-Boateng,175
Stephen Donkor,175
Kwaku Owusu,175
Ansah Kennedy Joseph,175
Ignatius Akwasi Amankwah,179
Ahi Sampson,179
Mahama Baba Ishmael,179
Emmanuel Owusu-Ansah,179
Martha Kwayie Manu,178
Kwabena Mintah Akandoh,178
Teye Nicholas,178
Oppong Ernestina,178
Elijah Appiah Frimpong,178
Alex Tetteh Djornobuah,177
Issah Mumuni,177
Ofori Bright,177
Kwaku Afriyie,176
Aidoo Evans Paul,176
Louisa Nkuah-Kwayie,176
Prince Akomeah Stephen,176
Bonye Martin Kofi,176
Frederick Addy,174
Joseph Betino,174
Opoku Bobie Evans,183
Mohammed Haruna,183
Banasco Kwaku,183
Osei Asibey Boafo,183
Amoa-Mensah Kwabena Agyei,182
Opoku Eric,182
Addai Francis,182
Asamoah Agyemang,182
Sarfo Sadick,182
Patrick Banor,185
Ebenezer Kwaku Addo,185
Kofi Anane,185
Owusu-Brempong Yaw,184
Collins Dauda,184
Seidu Kwame,184
Freda Prempeh,187
Pius Sampson Opoku,187
Nkrumah Bennett Asante,187
Sekyere Benjamin Yeboah,186
Hanna Louisa Bisiw,186
Alexander Gyan,202
Felicia Adjei,202
Datiakwa Kojo Nyame,202
Joshua Kwaku Abonkra,207
Kwabena Donkor,207
Awuku Dunyo Shamah,207
Wureboulecho Theophilus Carven,207
Kofi Amoakohene,205
Hennaa Kwaku Abraham,205
Nanja Sanja,205
Caesar Fomekah,205
Michael Sarkodie Baffoe,201
Joseph Kwame Kumah,201
Francis Akwasi Owusu Boateng,201
Derek Oduro,203
Joseph Kwasi Mensah,203
Konadu-Yiadom Charles,204
Emmanuel Kwadwo Agyekum,204
Ampour Florence,204
Stephen Jalulah,206
Mohammed Masawud,206
Luchoun Nicholas Bitagan,209
Napare Dominic,209
Joseph Kumah Mackay,208
Kwame Ampofo Twumasi,208
Caesar Fomekah,208
Martin Oti Gyarko,210
Elizabeth Ofosu-Adjare,210
Faustina Owusu Mensah,210
Martin Kwaku Adjei-Mensah Korsah,200
Christopher Beyere Baasongti,200
Paul Apreku Twum-Barimah,192
Rachel Owusuah,192
George Yaw Gyan-Baffour,199
Seidu Haruna,199
Duku Eric,199
Kofi Anokye,199
Joe Danquah,197
Ibrahim Ahmed,197
Paul Nyankamago,197
Yeboah Abbrey,197
Nelson Kyeremeh,193
Simon Ampaabeng Kyeremeh,193
Francis Manu-Gyan,193
Kwaku Agyenim Boateng,194
Dickson Kyere-Duah,194
Derrick Obeng Mensah,194
Kwaku Agyeman-Manu,191
Gordon Asubonteng,191
Yeboah Angela Twumasi,191
Joechee Uroy Edem,191
Adjei Oteng Kwame,191
Ali Maiga Halidu,190
Vincent Oppong Asamoah,190
Siaka Stevens,196
Ahenkwah Frederick Yaw,196
Appiah Jacob,196
Afful Yaw,195
Okofo-Dateh Williams,195
Badu Samuel Agyemang,195
Bediako Joyce Asare,195
Kwasi Ameyaw-Cheremeh,188
Allan Mcbright Sekyere,188
Titus Eshun,188
Takyiwaa Gifty,188
Alanyina Sampana Sampson,188
Francis Kwabena Kusi,188
Ignatius Baffour Awuah,189
Millicent Yeboah Amankwah,189
Adongo Akatu Matilda,189
Bernard Oduro Takyi,189
Sulemana Adama,198
Gabriel Osei,198
Abdulai Siaka,198
Kwasi Agyemang Gyan-Tutu,198
Samuel Nuertey  Ayertey,94
Ebenezer Okletey Terlabi,94
